Created_At,Entities,Id,Language,Place,Source,Text,Username
Fri Oct 25 02:45:04 +0000 2019,"{'hashtags': [{'indices': [70, 85], 'text': 'SadhguruQuotes'}], 'media': [{'display_url': 'pic.twitter.com/FgWULrmkyi', 'expanded_url': 'https://twitter.com/SadhguruJV/status/1187560681429749761/photo/1', 'id': 1187560679001264128, 'id_str': '1187560679001264128', 'indices': [86, 109], 'media_url': 'http://pbs.twimg.com/media/EHsQJUUXkAA2fkK.png', 'media_url_https': 'https://pbs.twimg.com/media/EHsQJUUXkAA2fkK.png', 'sizes': {'large': {'h': 500, 'resize': 'fit', 'w': 800}, 'medium': {'h': 500, 'resize': 'fit', 'w': 800}, 'small': {'h': 425, 'resize': 'fit', 'w': 680}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'type': 'photo', 'url': 'https://t.co/FgWULrmkyi'}], 'symbols': [], 'urls': [], 'user_mentions': []}",1187560681429749761,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Life is involvement. Where there is no involvement, there is no life. #SadhguruQuotes https://t.co/FgWULrmkyi",Sadhguru
Thu Oct 24 15:04:23 +0000 2019,"{'hashtags': [{'indices': [21, 36], 'text': 'CauveryCalling'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1187384347109683200', 'indices': [116, 139], 'url': 'https://t.co/t6M0FShskC'}], 'user_mentions': []}",1187384347109683200,en,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",We want to establish #CauveryCalling as a demonstrable economic model with a significant ecological impact for the… https://t.co/t6M0FShskC,Sadhguru
Thu Oct 24 11:56:26 +0000 2019,"{'hashtags': [{'indices': [0, 15], 'text': 'CauveryCalling'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1187337046408302592', 'indices': [121, 144], 'url': 'https://t.co/b6lUFsUtMD'}], 'user_mentions': []}",1187337046408302592,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#CauveryCalling is an economic plan for the farmers &amp; an ecological plan for the nation. If we successfully make it… https://t.co/b6lUFsUtMD,Sadhguru
Thu Oct 24 09:50:37 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1187305384299491329', 'indices': [117, 140], 'url': 'https://t.co/K5t9Mg5hNK'}], 'user_mentions': [{'id': 3164642059, 'id_str': '3164642059', 'indices': [31, 41], 'name': 'Anny Divya', 'screen_name': 'AnnyDivya'}]}",1187305384299491329,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A pleasure to fly with Captain @AnnyDivya, the youngest woman ever to command a Boeing 777 — the world’s largest tw… https://t.co/K5t9Mg5hNK",Sadhguru
Thu Oct 24 02:45:05 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1187198297276059648', 'indices': [116, 139], 'url': 'https://t.co/zM6FCvTkZ7'}], 'user_mentions': []}",1187198297276059648,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","In search of wellbeing, we have done all kinds of insane things on this planet, but wellbeing has not happened. If… https://t.co/zM6FCvTkZ7",Sadhguru
Wed Oct 23 10:12:39 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1186948541144416256', 'indices': [117, 140], 'url': 'https://t.co/LnpPVZCAI8'}], 'user_mentions': []}",1186948541144416256,en,,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","In last 35 years, Cauvery has been depleting continuously, but particularly in the last 7-8 years, the depletion is… https://t.co/LnpPVZCAI8",Sadhguru
Wed Oct 23 07:12:52 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1186903296981647361', 'indices': [117, 140], 'url': 'https://t.co/8gWdEm7YRC'}], 'user_mentions': []}",1186903296981647361,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nimai, a truly wonderful sevadhar from West Bengal who has dedicated over a decade of his life serving at Isha Yoga… https://t.co/8gWdEm7YRC",Sadhguru
Wed Oct 23 02:45:06 +0000 2019,"{'hashtags': [{'indices': [74, 89], 'text': 'SadhguruQuotes'}], 'media': [{'display_url': 'pic.twitter.com/DsmQfK464g', 'expanded_url': 'https://twitter.com/SadhguruJV/status/1186835911100829696/photo/1', 'id': 1186835907971817472, 'id_str': '1186835907971817472', 'indices': [90, 113], 'media_url': 'http://pbs.twimg.com/media/EHh8-F1WoAAHzP2.png', 'media_url_https': 'https://pbs.twimg.com/media/EHh8-F1WoAAHzP2.png', 'sizes': {'large': {'h': 500, 'resize': 'fit', 'w': 800}, 'medium': {'h': 500, 'resize': 'fit', 'w': 800}, 'small': {'h': 425, 'resize': 'fit', 'w': 680}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'type': 'photo', 'url': 'https://t.co/DsmQfK464g'}], 'symbols': [], 'urls': [], 'user_mentions': []}",1186835911100829696,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Success happens when you are able to use yourself to your full potential. #SadhguruQuotes https://t.co/DsmQfK464g,Sadhguru
Tue Oct 22 14:56:05 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1186657482795470851', 'indices': [117, 140], 'url': 'https://t.co/tvV5kaQ4EW'}], 'user_mentions': [{'id': 139385992, 'id_str': '139385992', 'indices': [5, 18], 'name': 'Kartik Murali', 'screen_name': 'kartikmurali'}]}",1186657482795470851,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dear @kartikmurali, may your heartfelt appeal be as magical as your spin deliveries. May it inspire many a youth. A… https://t.co/tvV5kaQ4EW",Sadhguru
Tue Oct 22 12:21:43 +0000 2019,"{'hashtags': [{'indices': [25, 40], 'text': 'CauveryCalling'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1186618635432812546', 'indices': [120, 143], 'url': 'https://t.co/mLUpwjiTsY'}], 'user_mentions': []}",1186618635432812546,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","One of the objectives of #CauveryCalling is to enable farmers to grow, fell, transport &amp; sell everything they grow… https://t.co/mLUpwjiTsY",Sadhguru
